Sector,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,Start Year,End Year,Years in Business
Retail Trade,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2017,4
Retail Trade,1,0,0,1,0,0,0,0,0,0,0,0,0,2013,2016,3
Retail Trade,0,0,1,0,0,0,0,0,0,0,0,0,0,2008,2020,12
Retail Trade,1,1,0,0,1,1,0,0,0,0,0,0,0,2009,2020,11
Retail Trade,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,2020,8
Retail Trade,1,0,0,1,0,0,0,0,0,0,0,0,0,2010,2021,11
Retail Trade,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,2019,6
Retail Trade,1,0,0,0,0,0,1,0,0,0,0,0,0,2011,2021,10
Retail Trade,0,0,1,1,0,0,0,0,0,0,0,0,0,2018,2023,5
Retail Trade,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,2020,5
Retail Trade,1,0,0,1,0,0,0,0,0,0,0,0,0,2013,2018,5
Retail Trade,1,0,1,0,0,0,0,0,1,0,0,0,0,2018,2023,5
Retail Trade,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,2015,5
Retail Trade,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,2021,9
Retail Trade,1,0,1,0,1,0,0,0,0,0,0,0,0,2010,2019,9
Retail Trade,1,0,0,1,0,0,0,0,0,0,0,0,0,2018,2022,4
Retail Trade,1,1,0,0,0,0,1,0,1,1,0,0,1,1996,1999,3
Retail Trade,1,0,0,1,0,0,0,1,0,0,0,0,0,2012,2015,3
Retail Trade,0,0,1,0,0,0,0,0,0,1,0,0,0,2011,2019,8
Retail Trade,0,0,1,0,0,0,0,1,0,0,0,0,0,2011,2017,6
Retail Trade,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,2018,5
Retail Trade,1,0,0,1,0,0,0,0,0,0,0,0,0,2015,2020,5
Retail Trade,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2018,5
Retail Trade,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2019,6
Accommodation and Food Services,1,0,1,1,0,0,0,0,0,0,0,0,0,2015,2021,6
Accommodation and Food Services,1,0,1,0,1,0,0,0,0,0,0,0,0,2012,2020,8
Accommodation and Food Services,1,0,1,0,0,0,0,0,0,0,0,0,0,2014,2019,5
Accommodation and Food Services,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,2023,12
Accommodation and Food Services,1,0,1,0,0,0,0,1,0,0,0,0,0,2012,2020,8
Accommodation and Food Services,1,0,1,0,0,0,0,0,1,0,0,0,0,2019,2023,4
Accommodation and Food Services,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2017,6
Accommodation and Food Services,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2014,3
Accommodation and Food Services,0,1,0,1,0,0,0,0,0,0,0,0,0,2004,2018,14
Accommodation and Food Services,0,1,0,1,0,0,0,0,0,0,0,0,0,2010,2015,5
Accommodation and Food Services,1,0,1,0,0,0,0,0,0,0,0,0,0,2014,2019,5
Accommodation and Food Services,1,0,1,0,0,0,0,0,1,0,0,0,0,2010,2018,8
Accommodation and Food Services,1,1,1,0,0,0,0,0,0,0,0,0,0,2013,2017,4
Accommodation and Food Services,0,1,0,1,0,0,0,0,1,0,0,0,0,2011,2017,6
Accommodation and Food Services,0,0,1,1,0,0,0,0,0,0,0,0,0,2015,2020,5
Accommodation and Food Services,0,0,1,0,0,0,0,0,0,0,0,0,0,2006,2021,15
Accommodation and Food Services,1,0,1,0,0,0,0,0,0,1,0,0,0,2014,2022,8
Accommodation and Food Services,1,1,1,0,0,0,1,0,0,0,0,0,0,2013,2017,4
Accommodation and Food Services,1,0,1,0,0,0,0,0,0,0,0,0,0,2013,2017,4
Accommodation and Food Services,0,0,0,1,0,0,0,0,0,0,0,0,0,2012,2017,5
Accommodation and Food Services,1,0,1,0,0,0,1,0,0,0,0,0,0,2012,2019,7
Accommodation and Food Services,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,2020,5
Accommodation and Food Services,1,1,0,0,0,0,0,1,0,0,0,0,0,2014,2019,5
Accommodation and Food Services,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,2020,8
Accommodation and Food Services,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,2022,9
Accommodation and Food Services,1,0,1,1,0,0,0,0,0,0,0,0,0,2017,2022,5
Accommodation and Food Services,1,0,1,0,0,0,1,0,0,0,0,0,0,2012,2019,7
Information,1,1,0,0,0,0,0,0,1,0,0,0,0,2010,2012,2
Information,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,2007,11
Information,1,0,0,0,0,0,0,0,1,0,0,0,0,2005,2019,14
Information,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,2012,2
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2011,2017,6
Information,0,0,0,0,0,1,0,0,0,0,0,0,0,2007,2022,15
Information,0,0,0,1,0,0,0,1,0,0,0,0,0,2011,2016,5
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2008,2023,15
Information,1,0,1,0,0,0,0,0,0,0,1,0,0,2018,2022,4
Information,0,0,1,0,1,0,1,0,0,0,0,0,0,2011,2022,11
Information,1,1,1,0,0,0,0,1,0,0,0,0,0,2011,2018,7
Information,1,0,1,1,1,0,0,0,0,0,0,0,1,2011,2014,3
Information,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,2016,6
Information,0,1,0,0,0,1,0,0,1,0,0,0,0,2012,2021,9
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,2023,13
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,2004,2018,14
Information,0,1,0,0,0,1,0,0,0,0,0,0,0,2012,2019,7
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,2021,6
Information,0,1,0,1,0,0,0,1,0,0,0,0,0,2004,2019,15
Information,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,2015,3
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,2023,12
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2022,14
Information,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,2016,7
Information,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,2021,7
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,2002,2014,12
Information,0,0,0,1,0,0,0,0,1,0,0,0,0,1994,2005,11
Information,1,0,1,0,1,0,0,0,0,1,0,0,0,2008,2016,8
Information,0,0,0,1,0,0,0,0,0,0,1,0,0,2006,2018,12
Information,0,0,1,0,1,0,0,0,0,0,0,0,0,2014,2021,7
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2007,2012,5
Information,0,1,0,0,0,0,0,0,0,0,1,0,0,2006,2017,11
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,2015,5
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2008,2023,15
Information,0,1,0,1,0,0,0,0,1,0,0,0,0,2016,2021,5
Information,1,0,1,0,1,0,0,0,0,0,0,0,0,2006,2018,12
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,2019,8
Information,0,1,0,0,0,1,0,0,0,0,0,0,0,2010,2022,12
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2009,2020,11
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,2021,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,2023,12
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,2023,12
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,1999,2017,18
Information,0,0,0,1,0,0,1,0,0,0,0,0,0,2011,2016,5
Information,0,1,0,0,0,0,0,0,0,1,0,0,0,2009,2022,13
Information,0,1,0,1,0,1,0,0,0,0,0,1,0,2008,2020,12
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2012,2015,3
Information,1,0,0,0,0,1,0,0,1,0,0,0,0,2005,2019,14
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,2020,6
Information,0,0,1,1,0,0,0,0,0,0,0,0,0,2011,2014,3
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2009,2023,14
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2010,2017,7
Information,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,2018,4
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,2003,2018,15
Information,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,2003,9
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,2012,2
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2018,2023,5
Information,0,1,0,1,1,0,0,0,0,0,0,0,0,2012,2019,7
Information,0,1,0,0,0,0,1,0,0,1,0,0,0,2010,2018,8
Information,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,2020,5
Information,0,1,0,0,0,0,0,0,1,0,0,0,0,2003,2018,15
Information,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020,8
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2017,6
Information,1,0,0,0,1,1,0,0,0,0,0,0,0,2008,2023,15
Information,0,1,0,1,0,1,0,0,0,0,0,0,0,2007,2018,11
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2010,2017,7
Information,1,1,0,0,0,0,1,0,0,0,0,0,0,2013,2019,6
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2008,2020,12
Information,0,0,0,0,0,0,0,1,0,0,1,0,0,2009,2017,8
Information,0,1,0,0,0,1,0,0,0,0,0,0,0,2009,2020,11
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2009,2015,6
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2011,2016,5
Information,0,1,0,0,0,1,0,0,0,0,0,0,0,2009,2019,10
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2013,2019,6
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2009,2014,5
Information,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,2018,4
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,2020,13
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2007,2017,10
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2016,2022,6
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2012,2016,4
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,2021,6
Information,0,0,0,0,0,1,1,0,0,0,0,0,0,2020,2023,3
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2009,2020,11
Information,0,1,0,0,0,0,0,0,0,0,0,0,0,2009,2014,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2009,2018,9
Information,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,2021,5
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2007,2018,11
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2009,2022,13
Information,0,0,0,0,0,0,0,1,1,0,0,0,0,2004,2018,14
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2017,2022,5
Information,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2020,13
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2011,2022,11
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2015,2021,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,2023,8
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2014,2020,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,2015,2
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,2022,5
Information,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2015,2
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2012,2017,5
Information,1,0,0,0,0,0,0,1,0,0,0,0,0,1979,1984,5
Information,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,2020,8
Information,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,2019,9
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2012,2020,8
Information,1,0,0,0,0,1,0,1,0,0,0,0,0,2013,2019,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,2018,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,2022,10
Information,0,0,1,0,0,0,0,1,0,0,0,0,0,2006,2014,8
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,2013,7
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,2005,2020,15
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2008,2012,4
Information,1,0,0,0,0,0,1,0,0,0,0,0,0,1998,2013,15
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,2008,2010,2
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2018,10
Information,0,1,0,1,0,0,0,0,0,1,0,0,0,2013,2018,5
Information,1,0,1,0,0,0,0,0,0,0,0,1,0,2014,2018,4
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2007,2020,13
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2011,2022,11
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2018,2023,5
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,2017,7
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,2023,8
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2007,2019,12
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2015,2020,5
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2021,9
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2008,2016,8
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2018,2023,5
Information,1,0,1,0,0,0,0,1,0,0,0,0,0,2009,2019,10
Information,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,2022,7
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2015,2021,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,1998,2013,15
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2009,2017,8
Information,0,0,0,1,1,0,0,0,1,0,0,0,0,2007,2019,12
Information,1,1,0,0,0,0,0,0,0,0,0,0,0,2002,2008,6
Information,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2018,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2006,2021,15
Information,1,0,0,1,0,0,0,0,0,0,0,0,0,2010,2017,7
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2008,2014,6
Information,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2012,5
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2006,2021,15
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2006,2020,14
Information,1,1,0,1,0,0,0,0,0,0,0,0,0,2007,2019,12
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,2020,9
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,2022,15
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,2014,14
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2013,2019,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,2017,5
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2016,5
Information,0,1,0,1,0,0,0,0,0,0,1,0,0,2011,2021,10
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2013,2018,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,2019,6
Information,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,2013,3
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2013,2016,3
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2012,2016,4
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,2021,14
Information,0,0,0,0,0,1,0,0,0,0,0,0,0,2009,2013,4
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2013,2019,6
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2009,2011,2
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,2017,5
